Brand Name,Model Name,Cost($),Size,Battery,Storage space,Camera pixelsMP
Samsung,Samsung galaxy A72,424.98,6.7 inches,Li-Ion 5000 mAh,128GB 6GB RAM,10
Samsung,Samsung Galaxy S21 Ultra 5G,949,6.8 inches,Li-Ion 5000 mAh,128GB 12GB RAM,14
Samsung,Samsung Galaxy A51,424,6.7 inches,Li-Ion 5000 mAh,64GB 4GB RAM,13
Samsung,Samsung Galaxy A32,239,6.4 inches,Li-Ion 5000 mAh,64GB 4GB RAM,14
Sony,Sony Xperia 1 III,456,6.2 inches,Li-Ion 5000mAh,64GB 4GB RAM,11
Sony,Sony Xperia 10 III,456,6.4 inches,Li-Po 3600 mAh,64GB 4GB RAM,14
Sony,Sony Xperia 10 II,456,6.4 inches,Li-Po 3600 mAh,64GB 4GB RAM,12
Apple,Apple iPhone 12 Pro Max,1059,6.7 inches,Li-Ion 3687 mAh,128GB 6GB RAM,12
Apple,Apple iPhone 12,779,6.1 inches,Li-Ion 2815 mAh,64GB 4GB RAM,12
Apple,Apple iPhone X,278,5.8 inches,Li-Ion 2716 mAh,64GB 3GB RAM,14
